County,Town,Date/Time,Distance,Name,Cost,Month,Day,Quarter,Weekday
W,Woodstock,"Sat, 5/6 10:00 AM",5K,Jog with Judy,"$25, $30 raceday, $15 age 13 and under",5,6,2,6
L,Sharon,"Sat, 5/6 10:15 AM",5M,Sharon Classic Road Race,"$20 through 3/15, $25 through 5/5, raceday?",5,6,2,6
L,Litchfield,"Sun, 5/7 8:00 AM",Duathlon,Thrill in the Hills Duathlon,"$50 adult, $40 17 and under",5,7,2,7
F,Redding,"Sun, 5/7 8:00 AM",13.1M,Redding Road Races,$55; $60 for both races starting at 7:20 AM,5,7,2,7
H,Southington,"Sun, 5/7 8:05 AM",600 minutes,Spring Fling 600,$40 [125 runner limit],5,7,2,7
H,Burlington,"Sun, 5/7 8:30 AM",10K,Collinsville Classic,"$40 through 1/1, $45 through 4/19, $50 afterwards; Ages 12-22 - $5 off",5,7,2,7
NH,Hamden,"Sun, 5/7 8:30 AM",5K,The Cookie Challenge 5K,"$30 through 5/5, $35 afterwards",5,7,2,7
F,Redding,"Sun, 5/7 8:35 AM",7M,Redding Road Races,$40; $60 for both races starting at 7:20 AM,5,7,2,7
NH,New Haven,"Sun, 5/7 9:00 AM",5K Obstacle,Denali's Rock the Gauntlet,"$45 through ??, $55 afterwards; Students ages 25 & under - $30 through ??, $40 afterwards
 Both Run & Rock events - $95; Students - $65
 [Waves also available at 10 and 11 AM]",5,7,2,7
L,Plymouth,"Sun, 5/7 9:00 AM",5K,Edmund Ganem Memorial / Terryville Rotary 5K,"$15 through 4/21, $20 raceday",5,7,2,7
NL,Montville,"Sun, 5/7 9:00 AM",5K,Montville Lions Run,"$20, $10 for 15 and under",5,7,2,7
L,Winchester,"Sun, 5/7 10:00 AM",5K,Blue & Gold 5K,"$25 through 5/6, $30 afterwards; Ages 18 & under - $10 off; Gilbert School students - $10",5,7,2,7
NH,Orange,"Sun, 5/7 10:00 AM",5K,Cohen and Wolf Cinco K De Mayo,$20 through 4/28,5,7,2,7
NH,Wolcott,"Sun, 5/7 10:00 AM",5K,Circle of Sports 5K,"$20 through 4/21, $25 through ??; Students - $12",5,7,2,7
F,Westport,"Sun, 5/7 10:00 AM",5K,STAR's 12th Annual Walk/Run,.$25,5,7,2,7
F,Bethel,"Sun, 5/7 11:00 AM",Kids 1M,Healthy Kids Running Series - Week 2,$35 for 5-week series [4th - 8th grade ONLY],5,7,2,7
L,Litchfield,"Sun, 5/7 12:00 PM",5K,Girls Just Wanna Run,"WOMEN ONLY - $30 through 4/15, $35 afterwards. Girls 12 and under $18",5,7,2,7
NH,Oxford,"Sun, 5/7 1:00 PM",5K,Oxford Run the Rock/Hike the Hill,"$25, $30 raceday",5,7,2,7
F,Stratford,"Wed, 5/10 6:00 PM",5K,Stratford Spring Series,"$10, for $25 for whole series",5,10,2,3
M,Middletown,"Fri, 5/12 6:00 PM",5K,Cap and Gown 5K,"$20 through 5/9, $25 afterwards; Students - $15",5,12,2,5
W,Thompson,"Sat, 5/13 8:00 AM",10K,Terrain New England Race,"$35 through 4/23, $50 through ??, $90 through ?? 
 Additional fees: $9.95 for one-day insurance, $10 per car for parking, processing fee - $5-$9",5,13,2,6
W,Thompson,"Sat, 5/13 8:00 AM",5K,Terrain New England Race,"$30 through 4/23, $45 through ??, $80 through ?? 
 Additional fees: $9.95 for one-day insurance, $10 per car for parking, processing fee - $5-$9",5,13,2,6
T,Vernon,"Sat, 5/13 8:00 AM",8M,Legends of Silk City Striders Memorial Run,.$10,5,13,2,6
F,Redding,"Sat, 5/13 8:15 AM",5K,5K Trail Run,.$25,5,13,2,6
L,Roxbury,"Sat, 5/13 8:30 AM",3.52M,Roxbury Road Race Series,contributions for the Shepaug Valley HS Class of 2017,5,13,2,6
H,Glastonbury,"Sat, 5/13 8:30 AM",5K,Bill Landers 5K,"$25, $15 youth",5,13,2,6
F,Greenwich,"Sat, 5/13 8:30 AM",3M,Riverside Run,"$20 through 5/10, $30 afterwards",5,13,2,6
F,Brookfield,"Sat, 5/13 9:00 AM",5K,Mother's Day 5K,"$20 through 5/12, $30 raceday",5,13,2,6
NL,Voluntown,"Sat, 5/13 9:00 AM",5K,YSB Super 5K,"$25, $10 ages 18 and under",5,13,2,6
NL,Griswold,"Sat, 5/13 9:00 AM",Youth Du,"You Can ""DU"" It",$15 (+2.50),5,13,2,6
NH,Orange,"Sat, 5/13 9:00 AM",5K,Peck Place Panther Pounce 5K,"$25, $10 students",5,13,2,6
H,New Britain,"Sat, 5/13 9:15 AM",5K,CT Race In the Park,".$30, Youth $15",5,13,2,6
NL,Ledyard,"Sat, 5/13 9:30 AM",5K,Colonel Classic 5K,".$30, $25 60+, $20 student",5,13,2,6
NH,Prospect,"Sat, 5/13 10:00 AM",5K,Jan's Run,"$22 until 5/6, $27 raceday. $12 for teens and below, $15 raceday",5,13,2,6
NH,New Haven,"Sat, 5/13 10:00 AM",5K,Clean Air Run,"$22, $20 if you don't need parking",5,13,2,6
H,Simsbury,"Sat, 5/13 10:00 AM",5K,My Best Friend's 5K,$25 through 5/12,5,13,2,6
NL,Colchester,"Sat, 5/13 10:00 AM",5.5M,Salmon River Run,.$30,5,13,2,6
NL,New London,"Sat, 5/13 11:00 AM",5K,5K River Run for the Fund,"$20, $25 raceday",5,13,2,6
F,Norwalk,"Sun, 5/14 8:00 AM",10K,Norwalk Mother's Day 10K,"$22, $25 raceday",5,14,2,7
F,Ridgefield,"Sun, 5/14 8:30 AM",5K,Run Like a Mother,"$40 through 3/31, $45 through 5/11. $50 afterwards",5,14,2,7
NH,Milford,"Sun, 5/14 9:00 AM",5K,Milford Hospital Live Well 5K,.$27,5,14,2,7
H,Suffield,"Sun, 5/14 9:00 AM",1M,Susan's Sunrise Road Race,"$20 adult, $15 for 17 and under, $30 for mother/child team",5,14,2,7
T,Vernon,"Sun, 5/14 9:30 AM",5K,Vernon Mother's Day Dash,"$20 adult, $10 14 and under, $25 adult raceday",5,14,2,7
H,Suffield,"Sun, 5/14 9:30 AM",3M,Susan's Sunrise Road Race,"$20 adult, $15 for 17 and under, $30 for mother/child team",5,14,2,7
H,Suffield,"Sun, 5/14 10:40 AM",1M,Susan's Sunrise Road Race,"$20 adult, $15 for 17 and under, $30 for mother/child team",5,14,2,7
F,Bethel,"Sun, 5/14 11:00 AM",Kids 1M,Healthy Kids Running Series - Week 3,$35 for 5-week series [4th - 8th grade ONLY],5,14,2,7
F,Stratford,"Wed, 5/17 6:00 PM",5K,Stratford Spring Series,"$10, for $25 for whole series",5,17,2,3
H,Hartford,"Thu, 5/18 6:00 AM",26.2M,Nutmeg State Marathon,"$80 through 8/31/16, $90 through 9/30/16, $100 through 12/15/16, $110 through 4/15/17, $130 afterwards",5,18,2,4
H,Hartford,"Thu, 5/18 6:00 AM",13.1M,Nutmeg State Marathon,"$65 through 8/31/16, $75 through 9/30/16, $85 through 12/15/16, $95 through 4/15/17, $115 afterwards",5,18,2,4
H,Simsbury,"Fri, 5/19 6:00 AM",26.2M,Mainly Marathons - New England Series,"$100 through 12/15/16, $115 through 3/15, $130 through 4/25, $150 afterwards",5,19,2,5
H,Simsbury,"Fri, 5/19 6:00 AM",13.1M,Mainly Marathons - New England Series,"$85 through 12/15/16, $100 through 3/15, $110 through 4/25, $130 afterwards",5,19,2,5
H,Simsbury,"Fri, 5/19 6:00 AM",10K,Mainly Marathons - New England Series,"$40 through 4/25, $50 afterwards",5,19,2,5
H,Simsbury,"Fri, 5/19 6:00 AM",5K,Mainly Marathons - New England Series,"$30 through 4/25, $40 afterwards",5,19,2,5
NH,Meriden,"Sat, 5/20 12:05 AM",1M,Running Over Cancer,.$10,5,20,2,6
NH,Hamden,"Sat, 5/20 8:00 AM",5K,Hamden Hills,"$25 through 4/20, $30 through 5/17, $35 raceday",5,20,2,6
NH,Hamden,"Sat, 5/20 8:00 AM",13.1M,Hamden Hills,"$60 through 4/20, $65 through 5/17, $70 raceday",5,20,2,6
F,Greenwich,"Sat, 5/20 8:00 AM",5K,Buddy Up 5K,"$40 adults, $30 youth",5,20,2,6
NH,Meriden,"Sat, 5/20 8:15 AM",1M,Running Over Cancer,.$5,5,20,2,6
L,Roxbury,"Sat, 5/20 8:30 AM",4.2M,Roxbury Road Race Series,"$5, or $50 membership for the year",5,20,2,6
NH,Meriden,"Sat, 5/20 8:45 AM",1M,Running Over Cancer,.$10,5,20,2,6
F,Darien,"Sat, 5/20 9:00 AM",5K,The Annual Fred Weisberg Memorial Law Day 5k Race,"$20, $25 raceday POSTPONED",5,20,2,6
H,Farmington,"Sat, 5/20 9:00 AM",5K,Reid's Run,"$25, $30 raceday",5,20,2,6
M,Cromwell,"Sat, 5/20 9:00 AM",5K,Teachers vs. Students 5K,"$20 through 5/13, $30 raceday",5,20,2,6
F,Norwalk,"Sat, 5/20 9:00 AM",5K,Miles For Myles,"$35, $30 raceday; Kids 15 & under - $10 off",5,20,2,6
NL,Waterford,"Sat, 5/20 9:00 AM",5K,Quaker Hill Challenge,"$20 through 5/7, $25 after",5,20,2,6
NH,Southbury,"Sat, 5/20 9:00 AM",50K,T2T - Kettletown State Park Challenge,"$65 through 3/31, $70 afterwards",5,20,2,6
NH,Southbury,"Sat, 5/20 9:00 AM",30K,T2T - Kettletown State Park Challenge,"$60 through 3/31, $65 afterwards",5,20,2,6
NH,Southbury,"Sat, 5/20 9:00 AM",20K,T2T - Kettletown State Park Challenge,"$50 through 3/31, $55 afterwards",5,20,2,6
NH,Southbury,"Sat, 5/20 9:00 AM",10K,T2T - Kettletown State Park Challenge,"$45 through 3/31, $50 afterwards",5,20,2,6
NH,Southbury,"Sat, 5/20 9:00 AM",5K,T2T - Kettletown State Park Challenge,"$40 through 3/31, $45 afterwards",5,20,2,6
NL,New London,"Sat, 5/20 9:00 AM",5K,Take the WInthrop Challenge 5K Run,$25; Ages 17 & under - $10,5,20,2,6
L,Barkhamsted,"Sat, 5/20 9:30 AM",5K,Barkhamsted River Run 5K,"$20, $25 raceday. $15 for children 16 an dunder",5,20,2,6
NH,Meriden,"Sat, 5/20 9:30 AM",3M,Running Over Cancer,.$10,5,20,2,6
F,Newtown,"Sat, 5/20 9:30 AM",5K,Newtown Forest Assoc. and Boys Cross Country 5K,.$28,5,20,2,6
W,Killingly,"Sat, 5/20 9:30 AM",5K,Aspire Springtime Classic 5K,"$20, $25 raceday",5,20,2,6
NL,Norwich,"Sat, 5/20 9:30 AM",5K,Larry Pontbriant Memorial Run/Walk,.$10,5,20,2,6
H,Windsor,"Sat, 5/20 10:00 AM",5K,Shad Derby Race,"$20 through 5/17/17, $25 raceday",5,20,2,6
NL,Montville,"Sat, 5/20 10:00 AM",5K,Murphy's Mad Dash for a Cure,"$20 through 5/7, $25 afterwards, $15 ages 14 and under through 5/7, $20 after",5,20,2,6
H,East Granby,"Sat, 5/20 10:00 AM",5K,East Granby Ridge Run,"$25, $15 ages 5-17, free for 4 and under, $30 raceday",5,20,2,6
L,Bethlehem,"Sat, 5/20 10:00 AM",5K,Run for Hope,.$25,5,20,2,6
H,East Hartford,"Sat, 5/20 10:00 AM",5K,CHR's 1 in 5,$35; Ages 17 & under - $30; CHR employees & clients - $30,5,20,2,6
F,Stratford,"Sat, 5/20 10:00 AM",5K,LOV 5K,"$25, $15 for 11 and under",5,20,2,6
NH,Meriden,"Sat, 5/20 10:30 AM",5K,Dennis Ensinger 5K,"$32, $37 raceday; Ages 11-17 - $10 off",5,20,2,6
NH,New Haven,"Sat, 5/20 11:15 AM",1M,Front Street Dash,.$15,5,20,2,6
NL,Stonington,"Sun, 5/21 7:00 AM",13.1M,Mystic Half Marathon & 10K,"$70 through 1/1, $80 through 5/10, $90 afterwards; Ages 12-22 - $5 off",5,21,2,7
NL,Stonington,"Sun, 5/21 7:00 AM",10K,Mystic Half Marathon & 10K,"$40 through 1/1, $45 through 4/18, $55 afterwards; Ages 10-22 - $5 off",5,21,2,7
H,Farmington,"Sun, 5/21 8:00 AM",13.1M,Walton Pond Trail Half Marathon,"$50, $40 for Winding Trails Members",5,21,2,7
H,Avon,"Sun, 5/21 8:30 AM",5K,Avon Road Race,"$25, $30 raceday",5,21,2,7
L,Salisbury,"Sun, 5/21 8:30 AM",Obstacle 5K,IMS Zombie Run,"$22.50 (+2.23) through 5/11, $25 afterwards",5,21,2,7
NH,Cheshire,"Sun, 5/21 9:00 AM",10K,Cheshire YMCA Sea Dog 5K & 10K,.$30,5,21,2,7
NH,Cheshire,"Sun, 5/21 9:05 AM",5K,Cheshire YMCA Sea Dog 5K & 10K,.$25,5,21,2,7
H,Newington,"Sun, 5/21 9:00 AM",5K,Newington Library 5K Challenge,".$20, $25 raceday, $10 children 12 and under",5,21,2,7
H,South Windsor,"Sun, 5/21 9:00 AM",5K,Journey Found 5K,"$20, $25 raceday, under 18 $15, $20 raceday, Family of 3 or more $50",5,21,2,7
T,Stafford,"Sun, 5/21 9:00 AM",22K,Soapstone Mountain Trail Races,"$22, $30 raceday",5,21,2,7
T,Stafford,"Sun, 5/21 9:10 AM",6K,Soapstone Mountain Trail Races,"$12, $15 raceday",5,21,2,7
NH,North Branford,"Sun, 5/21 9:30 AM",5K,Matt's Mission,"$24 through 4/1, $25 through 5/20, $27 raceday",5,21,2,7
NL,Groton,"Sun, 5/21 9:30 AM",5K,Trails to Recovery,.$20,5,21,2,7
H,Simsbury,"Sun, 5/21 11:00 AM",Triathlon,Try Simsbury,"$65 through 1/31, $75 through 5/19, $85 raceday",5,21,2,7
H,South Windsor,"Sun, 5/21 11:00 AM",5K,Run 4 Robin,"$15, $20 day of",5,21,2,7
H,Burlington,"Sun, 5/21 11:00 AM",5K,Shine On 5K,"$20, $25 raceday",5,21,2,7
F,Norwalk,"Sun, 5/21 11:00 AM",5K,O'Neill's 5K,"$30 through 3/17, $35 through 5/20, $40 raceday. Students 11-18 $15, $20 raceday, Free for under 10 (no t-shirt)",5,21,2,7
F,Bethel,"Sun, 5/21 11:00 AM",Kids 1M,Healthy Kids Running Series - Week 4,$35 for 5-week series [4th - 8th grade ONLY],5,21,2,7
L,Morris,"Sun, 5/21 12:00 PM",5K,The Retro Run,.$20,5,21,2,7
H,Farmington,"Sun, 5/21 1:00 PM",5K,Gertsberg Memorial 5K,.$20,5,21,2,7
NL,Lebanon,"Sun, 5/21 1:30 PM",5K,Bailey's Garden 5K,"$20 for 11 and over, $10 for 10 and under",5,21,2,7
F,Stamford,"Wed, 5/24 7:00 PM",5K,Stamford Boys and Girls CLub Corporate 5K,"$30, 435 raceday",5,24,2,3
M,Chester,"Thu, 5/25 6:15 PM",Triathlon,Cedar Lake Tri Series,.$35[THIS DATE CANCELLED],5,25,2,4
F,Weston,"Sat, 5/27 8:30 AM",5K,Weston Memorial Day Weekend 5K Road Race,"$30, $40 raceday",5,27,2,6
L,Roxbury,"Sat, 5/27 8:30 AM",1M,Roxbury Road Race Series,"$5, or $50 membership for the year",5,27,2,6
T,Willington,"Sat, 5/27 8:30 AM",5K,Willington PTA 5K,.$15,5,27,2,6
NH,Southbury,"Sat, 5/27 8:30 AM",5K,David Wood Memorial 5K,"$25 through 5/13, $30 afterwards",5,27,2,6
M,Old Saybrook,"Sat, 5/27 9:00 AM",4M,Delaney Dash,"$20 mail-in; $18 through 5/23, $30 Afterwards",5,27,2,6
NL,North Stonington,"Sat, 5/27 10:00 AM",5K,North Stonington Education Foundation 5K,"$20 through 5/23, $25 afterwards",5,27,2,6
F,Bridgeport,"Sun, 5/28 8:30 AM",10K,Great Aquarion Barnum Festival 5K & 10K Road Race,"$30 (+2.50) through 1/31, $35 +(3.00) through 5/24, ?? Afterwards; Active military or veterans - Free",5,28,2,7
F,Bridgeport,"Sun, 5/28 8:30 AM",5K,Great Aquarion Barnum Festival 5K & 10K Road Race,"$25 (+2.50) through 1/31, $30 +(2.50) through 5/24, ?? Afterwards; Active military or veterans - Free",5,28,2,7
F,Wilton,"Sun, 5/28 9:00 AM",5K,Get Smart For Wilton 5K,"$27, $30 raceday; Ages 13 & under - $25",5,28,2,7
L,New Hartford,"Sun, 5/28 10:00 AM",3.5M,Race Around the Lake,"$20, $25 raceday, under 15 $15, $20 raceday, family of 4 $60 pre-registered only",5,28,2,7
H,Marlborough,"Sun, 5/28 10:30 AM",5K,Lions Club 5K Road Race,"$20 (+2.50), $25 raceday, max of $50 per family",5,28,2,7
F,Bethel,"Sun, 5/28 11:00 AM",Kids 1M,Healthy Kids Running Series - Week 5,$35 for 5-week series [4th - 8th grade ONLY],5,28,2,7
NH,Waterbury,"Mon, 5/29 7:00 AM",26.2M,Oh Boy Marathon,"$50 through 1/31, $60 through 3/31, $70 through 4/30, $75 afterwards [100 RUNNER LIMIT]",5,29,2,1
NH,Waterbury,"Mon, 5/29 7:00 AM",13.1M,Oh Boy Marathon,"$50 through 1/31, $60 through 3/31, $70 through 4/30, $75 afterwards [100 RUNNER LIMIT]",5,29,2,1
NH,Oxford,"Mon, 5/29 8:15 AM",5K,Freedom Run 5K,"$25, Free for Veterans",5,29,2,1
F,Greenwich,"Mon, 5/29 8:15 AM",5M,Jim Fixx Memorial Day Run,"$30, $40 raceday; Kids - $15",5,29,2,1
F,Easton,"Mon, 5/29 8:30 AM",1M,Memorial Mile,"$16 (+2.50), $20 raceday",5,29,2,1
NH,Meriden,"Mon, 5/29 8:45 AM",1M,Meriden Memorial Mile,"$20 through 5/20, $10 for 12 and under, $25 raceday",5,29,2,1
W,Woodstock,"Mon, 5/29 9:00 AM",10K,Woodstock Memorial Day 10K,"$20 through 5/15, $25 afterwards",5,29,2,1
H,Bloomfield,"Mon, 5/29 9:30 AM",5K,Bloomfield Memorial Day 5K,$10; Team of 2 - $15; Team of 3 - $20; Team of 4 - $25,5,29,2,1
NL,Stonington,"Mon, 5/29 10:00 AM",5K,Mystic Bearathon,.$20,5,29,2,1
M,Durham,"Mon, 5/29 11:00 AM",10K,Washington Trail Road Races,.$20,5,29,2,1
M,Durham,"Mon, 5/29 11:00 AM",4K,Washington Trail Road Races,.$15,5,29,2,1
L,Norfolk,"Mon, 5/29 12:00 PM",5M,Memorial Day 5-Mile Road Race,"$14, $19 raceday",5,29,2,1
F,New Canaan,"Wed, 5/31 7:00 PM",5K,Summer Cross Country Series,$3; Students/Kids - $2,5,31,2,3
F,Stratford,"Thu, 6/1 6:00 PM",5K,Stratford Spring Series,"$10, for $25 for whole series",6,1,2,4
H,Marlborough,"Thu, 6/1 6:15 PM",Triathlon,Lake Terramuggus Tri Series,"$30 for Sprint, $25 for Super Sprint",6,1,2,4
NL,Groton,"Fri, 6/2 6:00 PM",3.6M,Twilight Trail Run,"$23 through 5/26, $28 afterwards",6,2,2,5
NL,Groton,"Fri, 6/2 6:00 PM",7.4M,Twilight Trail Run,"$23 through 5/26, $28 afterwards",6,2,2,5
L,New Milford,"Fri, 6/2 7:45 PM",5K,Moonlight Run,.$25,6,2,2,5
NH,Middlebury,"Sat, 6/3 7:00 AM",Triathlon,Revolution3 Quassy Olympic Triathlon,"$129 through 8/8, $150 through 12/1/16, $160 through 2/1, $170 through 3/1, $180 through 5/1, $190 through 6/4, $200 raceday",6,3,2,6
M,Durham,"Sat, 6/3 8:00 AM",3M,Go Far Go Fast: Go Faarrgh,"$12 through 5/20, $15 afterwards",6,3,2,6
L,Roxbury,"Sat, 6/3 8:30 AM",9M,Roxbury Road Race Series,"$5, or $50 membership for the year",6,3,2,6
W,Chaplin,"Sat, 6/3 9:00 AM",5K,Chaplin Country Road Race,"$17, $20 raceday",6,3,2,6
NL,Colchester,"Sat, 6/3 9:00 AM",5K,Running for Unity,"$10, $15 raceday",6,3,2,6
M,Durham,"Sat, 6/3 9:00 AM",Kids 3M,Go Far Go Fast: Go Faarrgh,"$12 through 5/20, $15 afterwards [GRADES 7-12 ONLY]",6,3,2,6
M,Durham,"Sat, 6/3 9:00 AM",Kids 1M,Go Far Go Fast: Go Faarrgh,"$12 through 5/20, $15 afterwards [GRADES 7-12 ONLY]",6,3,2,6
NL,Stonington,"Sat, 6/3 9:00 AM",5K,Pawcatuck Lions 5K,"$20, $25 raceday; Ages 4-17 - $15",6,3,2,6
H,Hartford,"Sat, 6/3 9:00 AM",5K,Komen Race for the Cure,"$25, $10 youth through 2/28, $35, $15 youth through 5/26, $40, $20 youth afterwards",6,3,2,6
NH,Hamden,"Sat, 6/3 9:00 AM",5K,Hamden Road Race,"$25 through 4/29, $30 through 6/1, $35 afterwards",6,3,2,6
NL,Norwich,"Sat, 6/3 9:00 AM",5K,Norwich Tech Warrior 5K,.$20,6,3,2,6
F,Trumbull,"Sat, 6/3 9:00 AM",5K,Run for Hope,"$25, $15 for students and military",6,3,2,6
NH,Milford,"Sat, 6/3 9:00 AM",5K,Strides for the Spectrum,"$25, $20 for 17 and under",6,3,2,6
F,Redding,"Sat, 6/3 10:00 AM",5K,Miles for Smiles Off-Road 5K,$25 through 6/2,6,3,2,6
L,Torrington,"Sat, 6/3 10:30 AM",,Raider Run,"$30, $20 students",6,3,2,6
M,Durham,"Sat, 6/3 10:30 AM",Kids 1M,Go Far Go Fast: Go Faarrgh,"$12 through 5/20, $15 afterwards [GRADES K-6 ONLY, SPLIT BY GENDER]",6,3,2,6
M,Durham,"Sat, 6/3 10:55 AM",Kids 2M,Go Far Go Fast: Go Faarrgh,"$12 through 5/20, $15 afterwards [GRADES K-6 ONLY]",6,3,2,6
L,Harwinton,"Sat, 6/3 1:00 PM",5K,Jamie Kirchner Memorial - Harwinton Wheels & Heels 5K Road Race,.$20,6,3,2,6
F,Ridgefield,"Sun, 6/4 7:00 AM",Triathlon,TriRidgefield Sprint Tri,.$85,6,4,2,7
NH,Middlebury,"Sun, 6/4 7:00 AM",Triathlon,Revolution3 Quassy Half-Ironman Triathlon,"$219 through 8/8, $250 through 12/1/16, $260 through 2/1, $270 through 3/1, $280 through 5/1, $290 through 6/4, $305 raceday",6,4,2,7
H,Simsbury,"Sun, 6/4 7:30 AM",10K,Amica Iron Horse 10K,"$35 through 1/1, $45 through 5/24, $50 afterwards; Ages 10-22 - $5 off",6,4,2,7
H,Simsbury,"Sun, 6/4 7:45 AM",13.1M,Amica Iron Horse Half Marathon,"$60 through 1/1, $75 through 5/24, $85 afterwards; Ages 12-22 - $5 off",6,4,2,7
H,Simsbury,"Sun, 6/4 7:45 AM",5K,Amica Iron Horse 5K,"$30 through 1/1, $35 through 5/24, $38 afterwards; Ages 18-22 - $5 off; Ages 5-17 - $15 through 5/24, $20 afterwards",6,4,2,7
F,Stamford,"Sun, 6/4 8:00 AM",5K,Stamford Hospital Hope in Motion Run,"$50, $60 raceday",6,4,2,7
F,Stamford,"Sun, 6/4 8:00 AM",10K,Stamford Hospital Hope in Motion Run,"$65, $75 raceday",6,4,2,7
NL,Stonington,"Sun, 6/4 8:00 AM",Triathlon,Mystic River Valley Triathlon,.$75,6,4,2,7
F,Norwalk,"Sun, 6/4 8:30 AM",5K,Miles for Meals 5K,"$28 through 4/5, $30 through 5/2, $32 through 6/3, $35 raceday",6,4,2,7
NH,Middlebury,"Sun, 6/4 8:45 AM",Kids' Triathlon,Revolution3 Kids Triathlon,"$45 through 8/8, $55 through 3/1, $60 through 5/1, $65 through 6/4, $70 raceday [Ages 11-15 only]",6,4,2,7
H,Suffield,"Sun, 6/4 9:00 AM",5K,Suffield Fireman's Road Race,.$25,6,4,2,7
NH,Wolcott,"Sun, 6/4 9:00 AM",3.2M,Ben Was Here 5K+,"$25, Ages 12 & under - $15 ; Family - $40",6,4,2,7
W,Hampton,"Sun, 6/4 9:00 AM",30K,Goodwin Forest Trail Run,"$25, $33 raceday; Age 50+ - $20, $28 raceday [250 RUNNER LIMIT]",6,4,2,7
W,Hampton,"Sun, 6/4 9:00 AM",10K,Goodwin Forest Trail Run,"$25, $33 raceday; Age 50+ - $20, $28 raceday [250 RUNNER LIMIT]",6,4,2,7
F,Monroe,"Sun, 6/4 9:00 AM",5K,Sprint For Monroe,".$25 through 5/27, $30 afterwards, ?? Raceday",6,4,2,7
NH,Naugatuck,"Sun, 6/4 9:00 AM",5K,Rubber Duck 5K,.$20,6,4,2,7
NL,Waterford,"Sun, 6/4 9:30 AM",5K,Oswegatchie 5K,"$15, $20 raceday; Students - $10, $15 raceday",6,4,2,7
NH,Orange,"Sun, 6/4 10:00 AM",5K,Doc's Race,"$20 by 5/20, $25 afterwards, $12 (for 12 and under) through 5/20, $15 afterwards",6,4,2,7
H,Wethersfield,"Sun, 6/4 11:00 AM",5K,Keane Foundation 5K Walk & Run,"$10, $5 for 10 and under",6,4,2,7
H,East Hartford,"Wed, 6/7 6:30 PM",5K,Fleet Feet's the Big Run,.$30,6,7,2,3
H,West Hartford,"Wed, 6/7 6:30 PM",5K,Solstice Sprint 5K,"$20 through 5/1, $25 afterwards",6,7,2,3
M,Chester,"Thu, 6/8 6:15 PM",Triathlon,Cedar Lake Tri Series,.$35 [ONLINE REGISTRATION ONLY],6,8,2,4
F,New Canaan,"Thu, 6/8 7:00 PM",5K,Summer Cross Country Series,$3; Students/Kids - $2 (Postponed from Tuesday 6/6),6,8,2,4
NL,East Lyme,"Fri, 6/9 6:00 PM",10K,Niantic Bay Road Race,"$20 through 6/7, $25 afterwards",6,9,2,5
L,Woodbury,"Fri, 6/9 6:00 PM",5K,Flanders Field Forest Trail 5K,"$30 thru 5/8, $35 thru 6/8, $40 raceday",6,9,2,5
F,Greenwich,"Fri, 6/9 6:30 PM",3M,Cook Your Buns Off,$25; Kids - $15,6,9,2,5
L,Roxbury,"Sat, 6/10 8:30 AM",3.9M,Roxbury Road Race Series,"$5, or $50 membership for the year",6,10,2,6
H,Hartford,"Sat, 6/10 8:30 AM",5K,Miles For Miracles 5K,"$20 through 6/20, $25 Afterwards; Ages 5-12 - $10; Age under 5 - Free",6,10,2,6
H,Berlin,"Sat, 6/10 8:30 AM",5K,Lobster Loop 5K Run,"$20 through 5/1, $25 through 6/9, NO RACE DAY REGISTRATION",6,10,2,6
H,Enfield,"Sat, 6/10 9:00 AM",5K,HMS Fun Run Day,$15; Ages 18 & under - $10,6,10,2,6
H,Manchester,"Sat, 6/10 9:00 AM",1M,Spring Street Mile,"$18 through 2/28, $20 through 5/31, $25 afterwards",6,10,2,6
H,New Britain,"Sat, 6/10 9:00 AM",5K,Bee a Champion for Children and Families 5K Race,.$35,6,10,2,6
H,Hartford,"Sat, 6/10 9:00 AM",5K,Zero Prostate 5K,"$30, $35 raceday, youth $15, $20 raceday",6,10,2,6
H,Manchester,"Sat, 6/10 9:30 AM",5K,Life Without Limits 5K,.$25,6,10,2,6
NH,Waterbury,"Sat, 6/10 9:30 AM",5K,Great Dash and Bash 5K,.$20,6,10,2,6
NL,Groton,"Sat, 6/10 10:00 AM",5K,Tour de Noank,"$20 through 5/11, $25 through 6/7, $30 raceday",6,10,2,6
F,Trumbull,"Sat, 6/10 10:00 AM",5K,Run For Your Colors,"$20, $25 raceday; Ages 70+ - Free; Ages 8 & under - Free",6,10,2,6
F,Danbury,"Sat, 6/10 10:00 AM",5K,Athletes of Christ 5K,"$20 through 5/19, $30 afterwards",6,10,2,6
T,Mansfield,"Sat, 6/10 10:00 AM",5K,Friends of E.O. Smith Road Race,"$20, $25 raceday",6,10,2,6
F,Bridgeport,"Sun, 6/11 7:00 AM",Triathlon,Trifitness Seaside Sprint Triathlon & Duathlon,$70; Youth - $50,6,11,2,7
F,Bridgeport,"Sun, 6/11 7:00 AM",Duathlon,Trifitness Seaside Sprint Triathlon & Duathlon,$55; Youth - $40,6,11,2,7
NH,Milford,"Sun, 6/11 8:00 AM",5K,Gulf Beach Pirate Day 5K,"$25 through 5/14, $30 through 6/10, $35 raceday",6,11,2,7
